old_species,new_species,ani,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date,biosample,genome
Staphylococcus aureus,Staphylococcus aureus,0.9831941786351696,ERR418370,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397558,ENA_SAMEA2339887
Staphylococcus aureus,Staphylococcus aureus,0.987859390147024,ERR418372,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397560,ENA_SAMEA2339889
Staphylococcus aureus,Staphylococcus aureus,0.982845330489686,ERR418375,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397563,ENA_SAMEA2339892
Staphylococcus aureus,Staphylococcus aureus,0.9879894118687124,ERR418380,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397568,ENA_SAMEA2339897
Staphylococcus aureus,Staphylococcus aureus,0.982878251877306,ERR418384,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397572,ENA_SAMEA2339901
Staphylococcus aureus,Staphylococcus aureus,0.9833631925958152,ERR418387,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397575,ENA_SAMEA2339904
Staphylococcus aureus,Staphylococcus aureus,0.98339255196025,ERR418388,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397576,ENA_SAMEA2339905
Staphylococcus aureus,Staphylococcus aureus,0.9836204262462314,ERR418393,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397581,ENA_SAMEA2339910
Staphylococcus aureus,Staphylococcus aureus,0.983355303304316,ERR418394,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397582,ENA_SAMEA2339911
Staphylococcus aureus,Staphylococcus aureus,0.988324185055096,ERR418396,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397584,ENA_SAMEA2339913
Staphylococcus aureus,Staphylococcus aureus,0.9987347346411416,ERR418406,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397594,ENA_SAMEA2339923
Staphylococcus aureus,Staphylococcus aureus,0.988135271532466,ERR418409,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397597,ENA_SAMEA2339926
Staphylococcus aureus,Staphylococcus aureus,0.992646094929298,ERR418411,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397599,ENA_SAMEA2339928
Staphylococcus aureus,Staphylococcus aureus,0.9832887567214584,ERR418417,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397605,ENA_SAMEA2339934
Staphylococcus aureus,Staphylococcus aureus,0.9924327009934616,ERR418419,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397607,ENA_SAMEA2339936
Staphylococcus aureus,Staphylococcus aureus,0.9923406108466462,ERR418420,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397608,ENA_SAMEA2339937
Staphylococcus aureus,Staphylococcus aureus,0.9873578566873288,ERR418427,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397615,ENA_SAMEA2339944
Staphylococcus aureus,Staphylococcus aureus,0.9842266567805816,ERR418433,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397621,ENA_SAMEA2339950
Staphylococcus aureus,Staphylococcus aureus,0.9986612931012976,ERR418434,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397622,ENA_SAMEA2339951
Staphylococcus aureus,Staphylococcus aureus,0.993764981179579,ERR418436,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397624,ENA_SAMEA2339953
Staphylococcus aureus,Staphylococcus aureus,0.9923052189037644,ERR418440,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397628,ENA_SAMEA2339957
Staphylococcus aureus,Staphylococcus aureus,0.9936844659535806,ERR418441,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397629,ENA_SAMEA2339958
Staphylococcus aureus,Staphylococcus aureus,0.9882390720287204,ERR418445,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397633,ENA_SAMEA2339962
Staphylococcus aureus,Staphylococcus aureus,0.998726126668974,ERR418446,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397634,ENA_SAMEA2339963
Staphylococcus aureus,Staphylococcus aureus,0.9923328387709328,ERR418463,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397651,ENA_SAMEA2339980
Staphylococcus aureus,Staphylococcus aureus,0.9842444459399045,ERR418467,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397655,ENA_SAMEA2339984
Staphylococcus aureus,Staphylococcus aureus,0.9878485172920628,ERR418468,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397656,ENA_SAMEA2339985
Staphylococcus aureus,Staphylococcus aureus,0.9936952203673604,ERR418470,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397658,ENA_SAMEA2339987
Staphylococcus aureus,Staphylococcus aureus,0.9925519614259428,ERR418477,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397665,ENA_SAMEA2339994
Staphylococcus aureus,Staphylococcus aureus,0.9926284836522332,ERR418483,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397671,ENA_SAMEA2340000
Staphylococcus aureus,Staphylococcus aureus,0.9923714771387012,ERR418492,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397680,ENA_SAMEA2340009
Staphylococcus aureus,Staphylococcus aureus,0.9926346088851828,ERR418493,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397681,ENA_SAMEA2340010
Staphylococcus aureus,Staphylococcus aureus,0.9825753436062616,ERR418496,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397684,ENA_SAMEA2340013
Staphylococcus aureus,Staphylococcus aureus,0.992562093656276,ERR418500,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397688,ENA_SAMEA2340017
Staphylococcus aureus,Staphylococcus aureus,0.9876641270177235,ERR418503,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397691,ENA_SAMEA2340020
Staphylococcus aureus,Staphylococcus aureus,0.9930131657884552,ERR418506,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397694,ENA_SAMEA2340023
Staphylococcus aureus,Staphylococcus aureus,0.9836215818973508,ERR418508,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397696,ENA_SAMEA2340025
Staphylococcus aureus,Staphylococcus aureus,0.9933711914962642,ERR418511,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397699,ENA_SAMEA2340028
Staphylococcus aureus,Staphylococcus aureus,0.9934183282593376,ERR418513,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397701,ENA_SAMEA2340030
Staphylococcus aureus,Staphylococcus aureus,0.993261121087478,ERR418520,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397708,ENA_SAMEA2340037
Staphylococcus aureus,Staphylococcus aureus,0.9937298101521224,ERR418525,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397713,ENA_SAMEA2340042
Staphylococcus aureus,Staphylococcus aureus,0.9839745726552532,ERR418531,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397719,ENA_SAMEA2340048
Staphylococcus aureus,Staphylococcus aureus,0.9838867281569784,ERR418532,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397720,ENA_SAMEA2340049
Staphylococcus aureus,Staphylococcus aureus,0.9861154987628822,ERR418534,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397722,ENA_SAMEA2340051
Staphylococcus aureus,Staphylococcus aureus,0.9878547613957592,ERR418538,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397726,ENA_SAMEA2340055
Staphylococcus aureus,Staphylococcus aureus,0.9923136944116604,ERR418539,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397727,ENA_SAMEA2340056
Staphylococcus aureus,Staphylococcus aureus,0.998969100921444,ERR418540,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397728,ENA_SAMEA2340057
Staphylococcus aureus,Staphylococcus aureus,0.9936324108218064,ERR418546,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397734,ENA_SAMEA2340063
Staphylococcus aureus,Staphylococcus aureus,0.9878522061280648,ERR418548,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397736,ENA_SAMEA2340065
Staphylococcus aureus,Staphylococcus aureus,0.9928292832907194,ERR418553,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397741,ENA_SAMEA2340070
Staphylococcus aureus,Staphylococcus aureus,0.9929818712024936,ERR418564,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397752,ENA_SAMEA2340081
Staphylococcus aureus,Staphylococcus aureus,0.9922748606085527,ERR418567,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397755,ENA_SAMEA2340084
Staphylococcus aureus,Staphylococcus aureus,0.988085167473953,ERR418568,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397756,ENA_SAMEA2340085
Staphylococcus aureus,Staphylococcus aureus,0.993592518579954,ERR418570,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397758,ENA_SAMEA2340087
Staphylococcus aureus,Staphylococcus aureus,0.9935037442263364,ERR418572,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397760,ENA_SAMEA2340089
Staphylococcus aureus,Staphylococcus aureus,0.9878205867904072,ERR418582,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397770,ENA_SAMEA2340099
Staphylococcus aureus,Staphylococcus aureus,0.9925492146820842,ERR418586,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397774,ENA_SAMEA2340103
Staphylococcus aureus,Staphylococcus aureus,0.9832255522776708,ERR418588,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397776,ENA_SAMEA2340105
Staphylococcus aureus,Staphylococcus aureus,0.9985126888198704,ERR418593,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397781,ENA_SAMEA2340110
Staphylococcus aureus,Staphylococcus aureus,0.9924335569413056,ERR418597,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397785,ENA_SAMEA2340114
Staphylococcus aureus,Staphylococcus aureus,0.9926196182298336,ERR418600,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397788,ENA_SAMEA2340117
Staphylococcus aureus,Staphylococcus aureus,0.9933065325635754,ERR418622,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397810,ENA_SAMEA2340139
Staphylococcus aureus,Staphylococcus aureus,0.992350195697661,ERR418623,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397811,ENA_SAMEA2340140
Staphylococcus aureus,Staphylococcus aureus,0.983168647570726,ERR418626,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397814,ENA_SAMEA2340143
Staphylococcus aureus,Staphylococcus aureus,0.9879790729952238,ERR418630,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397818,ENA_SAMEA2340147
Staphylococcus aureus,Staphylococcus aureus,0.9924029957285628,ERR418643,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397831,ENA_SAMEA2340160
Staphylococcus aureus,Staphylococcus aureus,0.98797601245369,ERR418645,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397833,ENA_SAMEA2340162
Staphylococcus aureus,Staphylococcus aureus,0.9877473443469084,ERR418648,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397836,ENA_SAMEA2340165
Staphylococcus aureus,Staphylococcus aureus,0.9820521678296106,ERR418657,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397845,ENA_SAMEA2340174
Staphylococcus aureus,Staphylococcus aureus,0.9830911267081666,ERR418660,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397848,ENA_SAMEA2340177
Staphylococcus aureus,Staphylococcus aureus,0.9874699979645254,ERR418662,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397850,ENA_SAMEA2340179
Staphylococcus aureus,Staphylococcus aureus,0.9933013955387456,ERR418664,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397852,ENA_SAMEA2340181
Staphylococcus aureus,Staphylococcus aureus,0.9821702663639844,ERR418668,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397856,ENA_SAMEA2340185
Staphylococcus aureus,Staphylococcus aureus,0.982003930943114,ERR418673,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397861,ENA_SAMEA2340190
Staphylococcus aureus,Staphylococcus aureus,0.982087135761484,ERR418678,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397866,ENA_SAMEA2340195
Staphylococcus aureus,Staphylococcus aureus,0.9830124043504198,ERR418680,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397868,ENA_SAMEA2340197
Staphylococcus aureus,Staphylococcus aureus,0.9933444039136312,ERR418685,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397873,ENA_SAMEA2340202
Staphylococcus aureus,Staphylococcus aureus,0.9878102371099836,ERR418691,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397879,ENA_SAMEA2340208
Staphylococcus aureus,Staphylococcus aureus,0.9931882729236456,ERR418692,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397880,ENA_SAMEA2340209
Staphylococcus aureus,Staphylococcus aureus,0.9983879207547716,ERR418693,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397881,ENA_SAMEA2340210
Staphylococcus aureus,Staphylococcus aureus,0.9933006541017686,ERR418696,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397884,ENA_SAMEA2340213
Staphylococcus aureus,Staphylococcus aureus,0.9935139873145736,ERR418697,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397885,ENA_SAMEA2340214
Staphylococcus aureus,Staphylococcus aureus,0.9935148532169378,ERR418699,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397887,ENA_SAMEA2340216
Staphylococcus aureus,Staphylococcus aureus,0.9820579308436984,ERR418702,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397890,ENA_SAMEA2340219
Staphylococcus aureus,Staphylococcus aureus,0.9924027815911458,ERR418703,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397891,ENA_SAMEA2340220
Staphylococcus aureus,Staphylococcus aureus,0.985097018171164,ERR418704,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397892,ENA_SAMEA2340221
Staphylococcus aureus,,,ERR418705,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397893,
Staphylococcus aureus,,,ERR418705,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397893,
Staphylococcus aureus,,,ERR418705,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397893,
Staphylococcus aureus,Staphylococcus aureus,0.985814619523174,ERR418706,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397894,ENA_SAMEA2340223
Staphylococcus aureus,Staphylococcus aureus,0.9833541246744038,ERR418707,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397895,ENA_SAMEA2340224
Staphylococcus aureus,Staphylococcus aureus,0.9878204260107276,ERR418709,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397897,ENA_SAMEA2340226
Staphylococcus aureus,,,ERR418711,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397899,
Staphylococcus aureus,,,ERR418711,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397899,
Staphylococcus aureus,,,ERR418711,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397899,
Staphylococcus aureus,Staphylococcus aureus,0.9925566129970612,ERR418721,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397909,ENA_SAMEA2340238
Staphylococcus aureus,Staphylococcus aureus,0.986050279481686,ERR418725,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397913,ENA_SAMEA2340242
Staphylococcus aureus,Staphylococcus aureus,0.9878485172920628,ERR418734,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397922,ENA_SAMEA2340251
Staphylococcus aureus,Staphylococcus aureus,0.9935618986669964,ERR418739,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397927,ENA_SAMEA2340256
Staphylococcus aureus,Staphylococcus aureus,0.9937081641347774,ERR418743,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397931,ENA_SAMEA2340260
Staphylococcus aureus,Staphylococcus aureus,0.9833088297515375,ERR418744,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397932,ENA_SAMEA2340261
Staphylococcus aureus,Staphylococcus aureus,0.982457305888342,ERR418745,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397933,ENA_SAMEA2340262
Staphylococcus aureus,Staphylococcus aureus,0.987821125582437,ERR418747,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397935,ENA_SAMEA2340264
Staphylococcus aureus,Staphylococcus aureus,0.9878485172920628,ERR418750,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397938,ENA_SAMEA2340267
Staphylococcus aureus,Staphylococcus aureus,0.9878636156091978,ERR418753,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397941,ENA_SAMEA2340270
Staphylococcus aureus,Staphylococcus aureus,0.9933418128517784,ERR418764,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397952,ENA_SAMEA2340281
Staphylococcus aureus,,,ERR418766,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397954,
Staphylococcus aureus,,,ERR418766,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397954,
Staphylococcus aureus,,,ERR418766,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397954,
Staphylococcus aureus,Staphylococcus aureus,0.9935558147368714,ERR418767,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397955,ENA_SAMEA2340284
Staphylococcus aureus,Staphylococcus aureus,0.9926147545205176,ERR418769,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397957,ENA_SAMEA2340286
Staphylococcus aureus,Staphylococcus aureus,0.9921283182786278,ERR418770,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397958,ENA_SAMEA2340287
Staphylococcus aureus,Staphylococcus aureus,0.98336430387379,ERR418781,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397969,ENA_SAMEA2340298
Staphylococcus aureus,Staphylococcus aureus,0.9833778565866692,ERR418782,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397970,ENA_SAMEA2340299
Staphylococcus aureus,Staphylococcus aureus,0.9829713004336172,ERR418784,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397972,ENA_SAMEA2340301
Staphylococcus aureus,Staphylococcus aureus,0.9836012137834648,ERR418788,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397976,ENA_SAMEA2340305
Staphylococcus aureus,Staphylococcus aureus,0.9824518050106508,ERR418794,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397982,ENA_SAMEA2340311
Staphylococcus aureus,Staphylococcus aureus,0.9830684146672451,ERR418799,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397987,ENA_SAMEA2340316
Staphylococcus aureus,Staphylococcus aureus,0.9831240188054508,ERR418802,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397990,ENA_SAMEA2340319
Staphylococcus aureus,Staphylococcus aureus,0.9846530230146164,ERR418804,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397992,ENA_SAMEA2340321
Staphylococcus aureus,Staphylococcus aureus,0.9882006003066436,ERR418811,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397999,ENA_SAMEA2340328
Staphylococcus aureus,Staphylococcus aureus,0.9985796991960112,ERR418817,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398005,ENA_SAMEA2340334
Staphylococcus aureus,Staphylococcus aureus,0.9822939769609318,ERR418858,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398046,ENA_SAMEA2340375
Staphylococcus aureus,Staphylococcus aureus,0.9884147177773572,ERR418862,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398050,ENA_SAMEA2340379
Staphylococcus aureus,Staphylococcus aureus,0.9886124218320372,ERR418864,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398052,ENA_SAMEA2340381
Staphylococcus aureus,Staphylococcus aureus,0.9835983194327368,ERR418867,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398055,ENA_SAMEA2340384
Staphylococcus aureus,Staphylococcus aureus,0.9836567798639334,ERR418868,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398056,ENA_SAMEA2340385
Staphylococcus aureus,Staphylococcus aureus,0.9836356059520526,ERR418869,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398057,ENA_SAMEA2340386
Staphylococcus aureus,Staphylococcus aureus,0.9830072442080828,ERR418872,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398060,ENA_SAMEA2340389
Staphylococcus aureus,Staphylococcus aureus,0.9834811608245692,ERR418877,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398065,ENA_SAMEA2340394
Staphylococcus aureus,Staphylococcus aureus,0.9830791029800292,ERR418878,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398066,ENA_SAMEA2340395
Staphylococcus aureus,Staphylococcus aureus,0.9836634031707324,ERR418888,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398076,ENA_SAMEA2340405
Staphylococcus aureus,Staphylococcus aureus,0.9879041554124932,ERR418895,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398083,ENA_SAMEA2340412
Staphylococcus aureus,Staphylococcus aureus,0.9876642810375474,ERR418900,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398088,ENA_SAMEA2340417
Staphylococcus aureus,Staphylococcus aureus,0.9879097821480493,ERR418907,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398095,ENA_SAMEA2340424
Staphylococcus aureus,Staphylococcus aureus,0.9935439833912776,ERR418923,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398111,ENA_SAMEA2340440
Staphylococcus aureus,Staphylococcus aureus,0.99319069651086,ERR418927,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398115,ENA_SAMEA2340444
Staphylococcus aureus,Staphylococcus aureus,0.9935524303651652,ERR418928,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398116,ENA_SAMEA2340445
Staphylococcus aureus,Staphylococcus aureus,0.9934691286616242,ERR418929,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398117,ENA_SAMEA2340446
Staphylococcus aureus,Staphylococcus aureus,0.9937626605380748,ERR418930,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398118,ENA_SAMEA2340447
Staphylococcus aureus,Staphylococcus aureus,0.9927810277298408,ERR418933,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398121,ENA_SAMEA2340450
Staphylococcus aureus,Staphylococcus aureus,0.9920444396460076,ERR418938,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398126,ENA_SAMEA2340455
Staphylococcus aureus,Staphylococcus aureus,0.9836947678617028,ERR418940,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398128,ENA_SAMEA2340457
Staphylococcus aureus,Staphylococcus aureus,0.9926236253982617,ERR418943,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398131,ENA_SAMEA2340460
Staphylococcus aureus,Staphylococcus aureus,0.9935678750210528,ERR418944,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398132,ENA_SAMEA2340461
Staphylococcus aureus,Staphylococcus aureus,0.983540858412661,ERR418946,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398134,ENA_SAMEA2340463
Staphylococcus aureus,Staphylococcus aureus,0.9880503511280831,ERR418948,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398136,ENA_SAMEA2340465
Staphylococcus aureus,Staphylococcus aureus,0.983073210729586,ERR418949,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398137,ENA_SAMEA2340466
Staphylococcus aureus,Staphylococcus aureus,0.982674483000888,ERR418954,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398142,ENA_SAMEA2340471
Staphylococcus aureus,Staphylococcus aureus,0.987876447919239,ERR418955,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398143,ENA_SAMEA2340472
Staphylococcus aureus,Staphylococcus aureus,0.9878636156091978,ERR418957,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398145,ENA_SAMEA2340474
Staphylococcus aureus,Staphylococcus aureus,0.9987527384487652,ERR418962,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398150,ENA_SAMEA2340479
Staphylococcus aureus,Staphylococcus aureus,0.9823978090757352,ERR418965,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398153,ENA_SAMEA2340482
Staphylococcus aureus,Staphylococcus aureus,0.983118449320186,ERR418971,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398159,ENA_SAMEA2340488
Staphylococcus aureus,Staphylococcus aureus,0.9819254740420847,ERR418972,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398160,ENA_SAMEA2340489
Staphylococcus aureus,Staphylococcus aureus,0.9879983303009564,ERR418974,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398162,ENA_SAMEA2340491
Staphylococcus aureus,Staphylococcus aureus,0.9989064586468366,ERR418977,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398165,ENA_SAMEA2340494
Staphylococcus aureus,Staphylococcus aureus,0.9987610150367788,ERR418978,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398166,ENA_SAMEA2340495
Staphylococcus aureus,Staphylococcus aureus,0.9929023224583458,ERR418982,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398170,ENA_SAMEA2340499
Staphylococcus aureus,Staphylococcus aureus,0.9924744247219726,ERR418986,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398174,ENA_SAMEA2340503
Staphylococcus aureus,Staphylococcus aureus,0.9924744247219726,ERR418987,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398175,ENA_SAMEA2340504
