accession,old_species,new_species,comments
SRR3196128,Campylobacter jejuni,NA,NA
SRR3196129,Campylobacter jejuni,NA,NA
SRR3196130,Campylobacter jejuni,NA,NA
SRR3196132,Campylobacter jejuni,NA,NA
SRR3196133,Campylobacter jejuni,NA,NA
SRR3196134,Campylobacter jejuni,NA,NA
SRR3196135,Campylobacter jejuni,NA,NA
SRR3196141,Campylobacter jejuni,NA,NA
SRR3196142,Campylobacter jejuni,NA,NA
SRR3196143,Campylobacter jejuni,NA,NA
SRR3196446,Campylobacter jejuni,NA,NA
SRR3196679,Campylobacter jejuni,NA,NA
SRR3196683,Campylobacter jejuni,NA,NA
SRR3196686,Campylobacter jejuni,NA,NA
SRR3196687,Campylobacter jejuni,NA,NA
SRR3199489,Campylobacter jejuni,NA,NA
SRR3199584,Campylobacter jejuni,NA,NA
SRR3199585,Campylobacter jejuni,NA,NA
SRR3201098,Campylobacter jejuni,NA,NA
SRR3201099,Campylobacter jejuni,NA,NA
SRR3201100,Campylobacter jejuni,NA,NA
SRR3201101,Campylobacter jejuni,NA,NA
SRR3201102,Campylobacter jejuni,NA,NA
SRR3201105,Campylobacter jejuni,NA,NA
SRR3201106,Campylobacter jejuni,NA,NA
SRR3201107,Campylobacter jejuni,NA,NA
SRR3201108,Campylobacter jejuni,NA,NA
SRR3201110,Campylobacter jejuni,NA,NA
SRR3201111,Campylobacter jejuni,NA,NA
SRR3201112,Campylobacter jejuni,NA,NA
SRR3201116,Campylobacter jejuni,NA,NA
SRR3201117,Campylobacter jejuni,NA,NA
SRR3201119,Campylobacter jejuni,NA,NA
SRR3201120,Campylobacter jejuni,NA,NA
SRR3201121,Campylobacter jejuni,NA,NA
SRR3201123,Campylobacter jejuni,NA,NA
SRR3201124,Campylobacter jejuni,NA,NA
SRR3201125,Campylobacter jejuni,NA,NA
SRR3209757,Campylobacter jejuni,NA,NA
SRR3209758,Campylobacter jejuni,NA,NA
SRR3209759,Campylobacter jejuni,NA,NA
SRR3209760,Campylobacter jejuni,NA,NA
SRR3209763,Campylobacter jejuni,NA,NA
SRR3209766,Campylobacter jejuni,NA,NA
SRR3209797,Campylobacter jejuni,NA,NA
SRR3209814,Campylobacter jejuni,NA,NA
SRR3214702,Campylobacter jejuni,NA,NA
SRR3214704,Campylobacter jejuni,NA,NA
SRR3214705,Campylobacter jejuni,NA,NA
SRR3214706,Campylobacter jejuni,NA,NA
SRR3214707,Campylobacter jejuni,NA,NA
SRR3214710,Campylobacter jejuni,NA,NA
SRR3214711,Campylobacter jejuni,NA,NA
SRR3214714,Campylobacter jejuni,NA,NA
SRR3215109,Campylobacter jejuni,NA,NA
SRR3215111,Campylobacter jejuni,NA,NA
SRR3215112,Campylobacter jejuni,NA,NA
SRR3215113,Campylobacter jejuni,NA,NA
SRR3215116,Campylobacter jejuni,NA,NA
SRR3215117,Campylobacter jejuni,NA,NA
SRR3215118,Campylobacter jejuni,NA,NA
SRR3215120,Campylobacter jejuni,NA,NA
SRR3215121,Campylobacter jejuni,NA,NA
SRR3215125,Campylobacter jejuni,NA,NA
SRR3215127,Campylobacter jejuni,NA,NA
SRR3215128,Campylobacter jejuni,NA,NA
SRR3215131,Campylobacter jejuni,NA,NA
SRR3215132,Campylobacter jejuni,NA,NA
SRR3215134,Campylobacter jejuni,NA,NA
SRR3241809,Campylobacter jejuni,NA,NA
SRR3297723,Campylobacter jejuni,NA,NA
SRR3297731,Campylobacter jejuni,NA,NA
SRR3297732,Campylobacter jejuni,NA,NA
SRR3297734,Campylobacter jejuni,NA,NA
SRR3297737,Campylobacter jejuni,NA,NA
SRR3297742,Campylobacter jejuni,NA,NA
SRR3319956,Campylobacter jejuni,NA,NA
SRR3319968,Campylobacter jejuni,NA,NA
SRR3319969,Campylobacter jejuni,NA,NA
SRR3319970,Campylobacter jejuni,NA,NA
SRR3319973,Campylobacter jejuni,NA,NA
SRR3319975,Campylobacter jejuni,NA,NA
SRR3319977,Campylobacter jejuni,NA,NA
SRR3319978,Campylobacter jejuni,NA,NA
SRR3319983,Campylobacter jejuni,NA,NA
SRR3319985,Campylobacter jejuni,NA,NA
SRR3319986,Campylobacter jejuni,NA,NA
SRR3319987,Campylobacter jejuni,NA,NA
SRR3319988,Campylobacter jejuni,NA,NA
SRR3319990,Campylobacter jejuni,NA,NA
SRR3319992,Campylobacter jejuni,NA,NA
SRR3319993,Campylobacter jejuni,NA,NA
SRR3319994,Campylobacter jejuni,NA,NA
SRR3319995,Campylobacter jejuni,NA,NA
SRR3320062,Campylobacter jejuni,NA,NA
SRR3321616,Campylobacter jejuni,NA,NA
SRR3321620,Campylobacter jejuni,NA,NA
SRR3321622,Campylobacter jejuni,NA,NA
SRR3321623,Campylobacter jejuni,NA,NA
SRR3321624,Campylobacter jejuni,NA,NA
SRR3321626,Campylobacter jejuni,NA,NA
SRR3321628,Campylobacter jejuni,NA,NA
SRR3321631,Campylobacter jejuni,NA,NA
SRR3321632,Campylobacter jejuni,NA,NA
SRR3321633,Campylobacter jejuni,NA,NA
SRR3321635,Campylobacter jejuni,NA,NA
SRR3321639,Campylobacter jejuni,NA,NA
SRR3321641,Campylobacter jejuni,NA,NA
SRR3321642,Campylobacter jejuni,NA,NA
SRR3321643,Campylobacter jejuni,NA,NA
SRR3321647,Campylobacter jejuni,NA,NA
SRR3321648,Campylobacter jejuni,NA,NA
SRR3321651,Campylobacter jejuni,NA,NA
SRR3321655,Campylobacter jejuni,NA,NA
SRR3350788,Campylobacter jejuni,NA,NA
SRR3350799,Campylobacter jejuni,NA,NA
SRR3350801,Campylobacter jejuni,NA,NA
SRR3350802,Campylobacter jejuni,NA,NA
SRR3350808,Campylobacter jejuni,NA,NA
SRR3350809,Campylobacter jejuni,NA,NA
SRR3350811,Campylobacter jejuni,NA,NA
SRR3350812,Campylobacter jejuni,NA,NA
SRR3350813,Campylobacter jejuni,NA,NA
SRR3350814,Campylobacter jejuni,NA,NA
SRR3350821,Campylobacter jejuni,NA,NA
SRR3350833,Campylobacter jejuni,NA,NA
SRR3350834,Campylobacter jejuni,NA,NA
SRR3350836,Campylobacter jejuni,NA,NA
SRR3350838,Campylobacter jejuni,NA,NA
SRR3350839,Campylobacter jejuni,NA,NA
SRR3350850,Campylobacter jejuni,NA,NA
SRR3350852,Campylobacter jejuni,NA,NA
SRR3350887,Campylobacter jejuni,NA,NA
SRR3350889,Campylobacter jejuni,NA,NA
SRR3350890,Campylobacter jejuni,NA,NA
SRR3350891,Campylobacter jejuni,NA,NA
SRR3350892,Campylobacter jejuni,NA,NA
SRR3350893,Campylobacter jejuni,NA,NA
SRR3350897,Campylobacter jejuni,NA,NA
SRR3350898,Campylobacter jejuni,NA,NA
SRR3350904,Campylobacter jejuni,NA,NA
SRR3350905,Campylobacter jejuni,NA,NA
SRR3350906,Campylobacter jejuni,NA,NA
SRR3402079,Campylobacter jejuni,NA,NA
SRR3402080,Campylobacter jejuni,NA,NA
SRR3402082,Campylobacter jejuni,NA,NA
SRR3402085,Campylobacter jejuni,NA,NA
SRR3402091,Campylobacter jejuni,NA,NA
SRR3402092,Campylobacter jejuni,NA,NA
SRR3402093,Campylobacter jejuni,NA,NA
SRR3402095,Campylobacter jejuni,NA,NA
SRR3402096,Campylobacter jejuni,NA,NA
SRR3402097,Campylobacter jejuni,NA,NA
SRR3402101,Campylobacter jejuni,NA,NA
SRR3402105,Campylobacter jejuni,NA,NA
SRR3475824,Campylobacter jejuni,NA,NA
SRR3475830,Campylobacter jejuni,NA,NA
SRR3475854,Campylobacter jejuni,NA,NA
SRR3475856,Campylobacter jejuni,NA,NA
SRR3475873,Campylobacter jejuni,NA,NA
SRR3479923,Campylobacter jejuni,NA,NA
SRR3479925,Campylobacter jejuni,NA,NA
SRR3479926,Campylobacter jejuni,NA,NA
SRR3479932,Campylobacter jejuni,NA,NA
SRR3479989,Campylobacter jejuni,NA,NA
SRR3479992,Campylobacter jejuni,NA,NA
SRR3479993,Campylobacter jejuni,NA,NA
SRR3479996,Campylobacter jejuni,NA,NA
SRR3479997,Campylobacter jejuni,NA,NA
SRR3479998,Campylobacter jejuni,NA,NA
SRR3479999,Campylobacter jejuni,NA,NA
SRR3480023,Campylobacter jejuni,NA,NA
SRR3480035,Campylobacter jejuni,NA,NA
SRR3543479,Campylobacter jejuni,NA,NA
SRR3543480,Campylobacter jejuni,NA,NA
SRR3543481,Campylobacter jejuni,NA,NA
SRR3543484,Campylobacter jejuni,NA,NA
SRR3543485,Campylobacter jejuni,NA,NA
SRR3543486,Campylobacter jejuni,NA,NA
SRR3543487,Campylobacter jejuni,NA,NA
SRR3543488,Campylobacter jejuni,NA,NA
SRR3543491,Campylobacter jejuni,NA,NA
SRR3543492,Campylobacter jejuni,NA,NA
SRR3543493,Campylobacter jejuni,NA,NA
SRR3543495,Campylobacter jejuni,NA,NA
SRR3543496,Campylobacter jejuni,NA,NA
SRR3543498,Campylobacter jejuni,NA,NA
SRR3543499,Campylobacter jejuni,NA,NA
SRR3543501,Campylobacter jejuni,NA,NA
SRR3543503,Campylobacter jejuni,NA,NA
SRR3543504,Campylobacter jejuni,NA,NA
SRR3543505,Campylobacter jejuni,NA,NA
SRR3543506,Campylobacter jejuni,NA,NA
SRR3543507,Campylobacter jejuni,NA,NA
SRR3543509,Campylobacter jejuni,NA,NA
SRR3543510,Campylobacter jejuni,NA,NA
SRR3545750,Campylobacter jejuni,NA,NA
SRR3545759,Campylobacter jejuni,NA,NA
SRR3545856,Campylobacter jejuni,NA,NA
SRR3545861,Campylobacter jejuni,NA,NA
SRR3545862,Campylobacter jejuni,NA,NA
SRR3545864,Campylobacter jejuni,NA,NA
SRR3545867,Campylobacter jejuni,NA,NA
SRR3545868,Campylobacter jejuni,NA,NA
SRR3545870,Campylobacter jejuni,NA,NA
SRR3545871,Campylobacter jejuni,NA,NA
SRR3545872,Campylobacter jejuni,NA,NA
SRR3545883,Campylobacter jejuni,NA,NA
SRR3545886,Campylobacter jejuni,NA,NA
SRR3545893,Campylobacter jejuni,NA,NA
SRR3545907,Campylobacter jejuni,NA,NA
SRR3545908,Campylobacter jejuni,NA,NA
SRR3545921,Campylobacter jejuni,NA,NA
SRR3545923,Campylobacter jejuni,NA,NA
SRR3545924,Campylobacter jejuni,NA,NA
SRR3545936,Campylobacter jejuni,NA,NA
SRR3575110,Campylobacter jejuni,NA,NA
SRR3575114,Campylobacter jejuni,NA,NA
SRR3575117,Campylobacter jejuni,NA,NA
SRR3575121,Campylobacter jejuni,NA,NA
SRR3583301,Campylobacter jejuni,NA,NA
SRR3583302,Campylobacter jejuni,NA,NA
SRR3583303,Campylobacter jejuni,NA,NA
SRR3583304,Campylobacter jejuni,NA,NA
SRR3583305,Campylobacter jejuni,NA,NA
SRR3583307,Campylobacter jejuni,NA,NA
SRR3583309,Campylobacter jejuni,NA,NA
SRR3583311,Campylobacter jejuni,NA,NA
SRR3583312,Campylobacter jejuni,NA,NA
SRR3583315,Campylobacter jejuni,NA,NA
SRR3583317,Campylobacter jejuni,NA,NA
SRR3583318,Campylobacter jejuni,NA,NA
SRR3583321,Campylobacter jejuni,NA,NA
SRR3583322,Campylobacter jejuni,NA,NA
SRR3583323,Campylobacter jejuni,NA,NA
SRR3611597,Campylobacter jejuni,NA,NA
SRR3611598,Campylobacter jejuni,NA,NA
SRR3611607,Campylobacter jejuni,NA,NA
SRR3611608,Campylobacter jejuni,NA,NA
SRR3611610,Campylobacter jejuni,NA,NA
SRR3611611,Campylobacter jejuni,NA,NA
SRR3611618,Campylobacter jejuni,NA,NA
SRR3611637,Campylobacter jejuni,NA,NA
SRR3611687,Campylobacter jejuni,NA,NA
SRR3611703,Campylobacter jejuni,NA,NA
SRR3611705,Campylobacter jejuni,NA,NA
SRR3611721,Campylobacter jejuni,NA,NA
SRR3611725,Campylobacter jejuni,NA,NA
SRR3611727,Campylobacter jejuni,NA,NA
SRR3611728,Campylobacter jejuni,NA,NA
SRR3611730,Campylobacter jejuni,NA,NA
SRR3611732,Campylobacter jejuni,NA,NA
SRR3611734,Campylobacter jejuni,NA,NA
SRR3611736,Campylobacter jejuni,NA,NA
SRR3611737,Campylobacter jejuni,NA,NA
SRR3611740,Campylobacter jejuni,NA,NA
SRR3611742,Campylobacter jejuni,NA,NA
SRR3611744,Campylobacter jejuni,NA,NA
SRR3611746,Campylobacter jejuni,NA,NA
SRR3611749,Campylobacter jejuni,NA,NA
SRR3611752,Campylobacter jejuni,NA,NA
SRR3611753,Campylobacter jejuni,NA,NA
SRR3611755,Campylobacter jejuni,NA,NA
SRR3611758,Campylobacter jejuni,NA,NA
SRR3611760,Campylobacter jejuni,NA,NA
SRR3611763,Campylobacter jejuni,NA,NA
SRR3611765,Campylobacter jejuni,NA,NA
SRR3611768,Campylobacter jejuni,NA,NA
SRR3666677,Campylobacter jejuni,NA,NA
SRR3666678,Campylobacter jejuni,NA,NA
SRR3666679,Campylobacter jejuni,NA,NA
SRR3666681,Campylobacter jejuni,NA,NA
SRR3666710,Campylobacter jejuni,NA,NA
SRR3666711,Campylobacter jejuni,NA,NA
SRR3666712,Campylobacter jejuni,NA,NA
SRR3666713,Campylobacter jejuni,NA,NA
SRR3666715,Campylobacter jejuni,NA,NA
SRR3666717,Campylobacter jejuni,NA,NA
SRR3666718,Campylobacter jejuni,NA,NA
SRR3666721,Campylobacter jejuni,NA,NA
SRR3666740,Campylobacter jejuni,NA,NA
SRR3666741,Campylobacter jejuni,NA,NA
SRR3710035,Campylobacter jejuni,NA,NA
SRR3710221,Campylobacter jejuni,NA,NA
SRR3726334,Campylobacter jejuni,NA,NA
SRR3726391,Campylobacter jejuni,NA,NA
SRR3726393,Campylobacter jejuni,NA,NA
SRR3726394,Campylobacter jejuni,NA,NA
SRR3726395,Campylobacter jejuni,NA,NA
SRR3726397,Campylobacter jejuni,NA,NA
SRR3726398,Campylobacter jejuni,NA,NA
SRR3726400,Campylobacter jejuni,NA,NA
SRR3726402,Campylobacter jejuni,NA,NA
SRR3726425,Campylobacter jejuni,NA,NA
SRR3726428,Campylobacter jejuni,NA,NA
SRR3726429,Campylobacter jejuni,NA,NA
SRR3726432,Campylobacter jejuni,NA,NA
SRR3726436,Campylobacter jejuni,NA,NA
SRR3726437,Campylobacter jejuni,NA,NA
SRR3726438,Campylobacter jejuni,NA,NA
SRR3726439,Campylobacter jejuni,NA,NA
SRR3726440,Campylobacter jejuni,NA,NA
SRR3726441,Campylobacter jejuni,NA,NA
SRR3771471,Campylobacter jejuni,NA,NA
SRR3771472,Campylobacter jejuni,NA,NA
SRR3774210,Campylobacter jejuni,NA,NA
SRR3774212,Campylobacter jejuni,NA,NA
SRR3774213,Campylobacter jejuni,NA,NA
SRR3774215,Campylobacter jejuni,NA,NA
SRR3774251,Campylobacter jejuni,NA,NA
SRR3774252,Campylobacter jejuni,NA,NA
SRR3774322,Campylobacter jejuni,NA,NA
SRR3774323,Campylobacter jejuni,NA,NA
SRR3774324,Campylobacter jejuni,NA,NA
SRR3774325,Campylobacter jejuni,NA,NA
SRR3774326,Campylobacter jejuni,NA,NA
SRR3774341,Campylobacter jejuni,NA,NA
SRR3774343,Campylobacter jejuni,NA,NA
SRR3774344,Campylobacter jejuni,NA,NA
SRR3774368,Campylobacter jejuni,NA,NA
SRR3774374,Campylobacter jejuni,NA,NA
SRR3779203,Campylobacter jejuni,NA,NA
SRR3925096,Campylobacter jejuni,NA,NA
SRR3925104,Campylobacter jejuni,NA,NA
SRR3928599,Campylobacter jejuni,NA,NA
SRR3928600,Campylobacter jejuni,NA,NA
SRR3928601,Campylobacter jejuni,NA,NA
SRR3928602,Campylobacter jejuni,NA,NA
SRR3928603,Campylobacter jejuni,NA,NA
SRR3928604,Campylobacter jejuni,NA,NA
SRR3928605,Campylobacter jejuni,NA,NA
SRR3928606,Campylobacter jejuni,NA,NA
SRR3928608,Campylobacter jejuni,NA,NA
SRR3928610,Campylobacter jejuni,NA,NA
SRR3928611,Campylobacter jejuni,NA,NA
SRR3928612,Campylobacter jejuni,NA,NA
SRR3928614,Campylobacter jejuni,NA,NA
SRR3928616,Campylobacter jejuni,NA,NA
SRR3928619,Campylobacter jejuni,NA,NA
SRR3928620,Campylobacter jejuni,NA,NA
SRR3928674,Campylobacter jejuni,NA,NA
SRR3928679,Campylobacter jejuni,NA,NA
SRR3928681,Campylobacter jejuni,NA,NA
SRR3928684,Campylobacter jejuni,NA,NA
SRR3953090,Campylobacter jejuni,NA,NA
SRR3953095,Campylobacter jejuni,NA,NA
SRR3953096,Campylobacter jejuni,NA,NA
SRR3953098,Campylobacter jejuni,NA,NA
SRR3953105,Campylobacter jejuni,NA,NA
SRR3953109,Campylobacter jejuni,NA,NA
SRR3953110,Campylobacter jejuni,NA,NA
SRR3953113,Campylobacter jejuni,NA,NA
SRR3953114,Campylobacter jejuni,NA,NA
SRR3953115,Campylobacter jejuni,NA,NA
SRR3953116,Campylobacter jejuni,NA,NA
SRR3953117,Campylobacter jejuni,NA,NA
SRR3995455,Campylobacter jejuni,NA,NA
SRR3995456,Campylobacter jejuni,NA,NA
SRR3995457,Campylobacter jejuni,NA,NA
SRR3995955,Campylobacter jejuni,NA,NA
SRR3995959,Campylobacter jejuni,NA,NA
SRR3995960,Campylobacter jejuni,NA,NA
SRR3995962,Campylobacter jejuni,NA,NA
SRR3995963,Campylobacter jejuni,NA,NA
SRR3995964,Campylobacter jejuni,NA,NA
SRR3995965,Campylobacter jejuni,NA,NA
SRR3995966,Campylobacter jejuni,NA,NA
SRR3995967,Campylobacter jejuni,NA,NA
SRR3995968,Campylobacter jejuni,NA,NA
SRR3995969,Campylobacter jejuni,NA,NA
SRR3995970,Campylobacter jejuni,NA,NA
SRR3995971,Campylobacter jejuni,NA,NA
SRR3995973,Campylobacter jejuni,NA,NA
SRR3995974,Campylobacter jejuni,NA,NA
SRR3995975,Campylobacter jejuni,NA,NA
SRR3995976,Campylobacter jejuni,NA,NA
SRR3995977,Campylobacter jejuni,NA,NA
SRR3995979,Campylobacter jejuni,NA,NA
SRR3995980,Campylobacter jejuni,NA,NA
SRR3995981,Campylobacter jejuni,NA,NA
SRR3995982,Campylobacter jejuni,NA,NA
SRR3995983,Campylobacter jejuni,NA,NA
SRR3995984,Campylobacter jejuni,NA,NA
SRR4005443,Campylobacter jejuni,NA,NA
SRR4018124,Campylobacter jejuni,NA,NA
SRR4018125,Campylobacter jejuni,NA,NA
SRR4018126,Campylobacter jejuni,NA,NA
SRR4018127,Campylobacter jejuni,NA,NA
SRR4018128,Campylobacter jejuni,NA,NA
SRR4018129,Campylobacter jejuni,NA,NA
SRR4018133,Campylobacter jejuni,NA,NA
SRR4018136,Campylobacter jejuni,NA,NA
SRR4018137,Campylobacter jejuni,NA,NA
SRR4018323,Campylobacter jejuni,NA,NA
SRR4018331,Campylobacter jejuni,NA,NA
SRR4018333,Campylobacter jejuni,NA,NA
SRR4018335,Campylobacter jejuni,NA,NA
SRR4018336,Campylobacter jejuni,NA,NA
SRR4018337,Campylobacter jejuni,NA,NA
SRR4018338,Campylobacter jejuni,NA,NA
SRR4018341,Campylobacter jejuni,NA,NA
SRR4018358,Campylobacter jejuni,NA,NA
SRR9207841,Campylobacter jejuni,NA,NA
SRR9207844,Campylobacter jejuni,NA,NA
SRR9207847,Campylobacter jejuni,NA,NA
ERR1218638,Escherichia coli,NA,NA
ERR1218722,Escherichia coli,NA,NA
ERR1359224,Escherichia coli,NA,NA
ERR1407278,Escherichia coli,NA,NA
ERR1407279,Escherichia coli,NA,NA
ERR1407280,Escherichia coli,NA,NA
ERR1912619,Escherichia coli,NA,NA
ERR2209391,Escherichia coli,NA,NA
ERR2209392,Escherichia coli,NA,NA
ERR2209393,Escherichia coli,NA,NA
ERR2209630,Escherichia coli,NA,NA
ERR2209631,Escherichia coli,NA,NA
ERR2209634,Escherichia coli,NA,NA
ERR2209639,Escherichia coli,NA,NA
ERR2209640,Escherichia coli,NA,NA
ERR2209641,Escherichia coli,NA,NA
ERR2209642,Escherichia coli,NA,NA
ERR2209643,Escherichia coli,NA,NA
ERR2209644,Escherichia coli,NA,NA
ERR2209645,Escherichia coli,NA,NA
ERR2209646,Escherichia coli,NA,NA
ERR2209647,Escherichia coli,NA,NA
ERR2209705,Escherichia coli,NA,NA
ERR2209706,Escherichia coli,NA,NA
ERR2209708,Escherichia coli,NA,NA
ERR2209710,Escherichia coli,NA,NA
ERR2209713,Escherichia coli,NA,NA
ERR2209720,Escherichia coli,NA,NA
ERR2209721,Escherichia coli,NA,NA
ERR2209723,Escherichia coli,NA,NA
ERR2209724,Escherichia coli,NA,NA
ERR2209725,Escherichia coli,NA,NA
ERR2209726,Escherichia coli,NA,NA
ERR2209727,Escherichia coli,NA,NA
ERR2209728,Escherichia coli,NA,NA
ERR2209730,Escherichia coli,NA,NA
ERR2209732,Escherichia coli,NA,NA
ERR2209734,Escherichia coli,NA,NA
ERR2209735,Escherichia coli,NA,NA
ERR2209736,Escherichia coli,NA,NA
ERR2209737,Escherichia coli,NA,NA
ERR2209744,Escherichia coli,NA,NA
ERR2209745,Escherichia coli,NA,NA
ERR2540223,Escherichia coli,NA,NA
ERR2540224,Escherichia coli,NA,NA
ERR2580149,Escherichia coli,NA,NA
ERR2580150,Escherichia coli,NA,NA
ERR2580151,Escherichia coli,NA,NA
ERR2580152,Escherichia coli,NA,NA
ERR2580153,Escherichia coli,NA,NA
ERR2580154,Escherichia coli,NA,NA
ERR2580155,Escherichia coli,NA,NA
ERR2580156,Escherichia coli,NA,NA
ERR2580157,Escherichia coli,NA,NA
ERR2580158,Escherichia coli,NA,NA
ERR2580159,Escherichia coli,NA,NA
ERR2580160,Escherichia coli,NA,NA
ERR2580161,Escherichia coli,NA,NA
ERR2580162,Escherichia coli,NA,NA
ERR2580163,Escherichia coli,NA,NA
ERR2580164,Escherichia coli,NA,NA
ERR2580165,Escherichia coli,NA,NA
ERR2580166,Escherichia coli,NA,NA
ERR2580167,Escherichia coli,NA,NA
ERR2580168,Escherichia coli,NA,NA
ERR2580169,Escherichia coli,NA,NA
ERR2580170,Escherichia coli,NA,NA
ERR2580171,Escherichia coli,NA,NA
ERR2580172,Escherichia coli,NA,NA
ERR2935293,Escherichia coli,NA,NA
ERR2935294,Escherichia coli,NA,NA
ERR2935295,Escherichia coli,NA,NA
ERR2935296,Escherichia coli,NA,NA
ERR2935297,Escherichia coli,NA,NA
ERR2935298,Escherichia coli,NA,NA
ERR2935299,Escherichia coli,NA,NA
ERR2935300,Escherichia coli,NA,NA
ERR2935301,Escherichia coli,NA,NA
ERR2935302,Escherichia coli,NA,NA
ERR2935303,Escherichia coli,NA,NA
ERR2935304,Escherichia coli,NA,NA
ERR2935305,Escherichia coli,NA,NA
ERR2935306,Escherichia coli,NA,NA
ERR2935307,Escherichia coli,NA,NA
ERR2935308,Escherichia coli,NA,NA
ERR2935309,Escherichia coli,NA,NA
ERR2935310,Escherichia coli,NA,NA
ERR2935311,Escherichia coli,NA,NA
ERR2935312,Escherichia coli,NA,NA
ERR2935313,Escherichia coli,NA,NA
ERR2935314,Escherichia coli,NA,NA
ERR2935315,Escherichia coli,NA,NA
ERR2935316,Escherichia coli,NA,NA
ERR2935317,Escherichia coli,NA,NA
ERR2935318,Escherichia coli,NA,NA
ERR2935319,Escherichia coli,NA,NA
ERR2935320,Escherichia coli,NA,NA
ERR2935321,Escherichia coli,NA,NA
ERR2935322,Escherichia coli,NA,NA
ERR2935323,Escherichia coli,NA,NA
ERR2935324,Escherichia coli,NA,NA
ERR2935325,Escherichia coli,NA,NA
ERR2935326,Escherichia coli,NA,NA
ERR2935327,Escherichia coli,NA,NA
ERR2935328,Escherichia coli,NA,NA
ERR2935329,Escherichia coli,NA,NA
ERR2935330,Escherichia coli,NA,NA
ERR2935331,Escherichia coli,NA,NA
ERR2935332,Escherichia coli,NA,NA
ERR2935333,Escherichia coli,NA,NA
ERR2935334,Escherichia coli,NA,NA
ERR2935335,Escherichia coli,NA,NA
ERR2935336,Escherichia coli,NA,NA
ERR2935337,Escherichia coli,NA,NA
ERR2935338,Escherichia coli,NA,NA
ERR2935339,Escherichia coli,NA,NA
ERR2935340,Escherichia coli,NA,NA
ERR2935341,Escherichia coli,NA,NA
ERR2935342,Escherichia coli,NA,NA
ERR2935343,Escherichia coli,NA,NA
ERR2935344,Escherichia coli,NA,NA
ERR2935345,Escherichia coli,NA,NA
ERR2935346,Escherichia coli,NA,NA
ERR2935347,Escherichia coli,NA,NA
ERR2935348,Escherichia coli,NA,NA
ERR2935349,Escherichia coli,NA,NA
ERR2935350,Escherichia coli,NA,NA
ERR2935351,Escherichia coli,NA,NA
ERR2935352,Escherichia coli,NA,NA
ERR2935353,Escherichia coli,NA,NA
ERR2935354,Escherichia coli,NA,NA
ERR2935355,Escherichia coli,NA,NA
ERR2935356,Escherichia coli,NA,NA
ERR2935357,Escherichia coli,NA,NA
ERR2935358,Escherichia coli,NA,NA
ERR2935359,Escherichia coli,NA,NA
ERR2935360,Escherichia coli,NA,NA
ERR2935361,Escherichia coli,NA,NA
ERR2935362,Escherichia coli,NA,NA
ERR2935363,Escherichia coli,NA,NA
ERR2935364,Escherichia coli,NA,NA
ERR2935365,Escherichia coli,NA,NA
ERR2935366,Escherichia coli,NA,NA
ERR2935367,Escherichia coli,NA,NA
ERR2935368,Escherichia coli,NA,NA
ERR2935369,Escherichia coli,NA,NA
ERR2935370,Escherichia coli,NA,NA
ERR2935371,Escherichia coli,NA,NA
ERR2935372,Escherichia coli,NA,NA
ERR2935373,Escherichia coli,NA,NA
ERR2935374,Escherichia coli,NA,NA
ERR2935375,Escherichia coli,NA,NA
ERR2935376,Escherichia coli,NA,NA
ERR2935377,Escherichia coli,NA,NA
ERR2935378,Escherichia coli,NA,NA
ERR2935379,Escherichia coli,NA,NA
ERR2935380,Escherichia coli,NA,NA
ERR2935381,Escherichia coli,NA,NA
ERR2935382,Escherichia coli,NA,NA
ERR2935383,Escherichia coli,NA,NA
ERR2935384,Escherichia coli,NA,NA
ERR2935385,Escherichia coli,NA,NA
ERR2935386,Escherichia coli,NA,NA
ERR2935387,Escherichia coli,NA,NA
ERR2935388,Escherichia coli,NA,NA
ERR2935389,Escherichia coli,NA,NA
ERR2935390,Escherichia coli,NA,NA
ERR2935391,Escherichia coli,NA,NA
ERR2935392,Escherichia coli,NA,NA
ERR2935393,Escherichia coli,NA,NA
ERR2935394,Escherichia coli,NA,NA
ERR2935395,Escherichia coli,NA,NA
ERR2935396,Escherichia coli,NA,NA
ERR2935397,Escherichia coli,NA,NA
ERR2935398,Escherichia coli,NA,NA
ERR2935399,Escherichia coli,NA,NA
ERR2935400,Escherichia coli,NA,NA
ERR2935401,Escherichia coli,NA,NA
ERR2935402,Escherichia coli,NA,NA
ERR2935403,Escherichia coli,NA,NA
ERR2935404,Escherichia coli,NA,NA
ERR2935405,Escherichia coli,NA,NA
ERR2935406,Escherichia coli,NA,NA
ERR2935407,Escherichia coli,NA,NA
ERR2935408,Escherichia coli,NA,NA
ERR2935409,Escherichia coli,NA,NA
ERR2935410,Escherichia coli,NA,NA
ERR2935411,Escherichia coli,NA,NA
ERR2935412,Escherichia coli,NA,NA
ERR2935413,Escherichia coli,NA,NA
ERR2935414,Escherichia coli,NA,NA
ERR2935415,Escherichia coli,NA,NA
ERR2935416,Escherichia coli,NA,NA
ERR2935417,Escherichia coli,NA,NA
ERR2935418,Escherichia coli,NA,NA
ERR2935419,Escherichia coli,NA,NA
ERR2935420,Escherichia coli,NA,NA
ERR2935421,Escherichia coli,NA,NA
ERR2935422,Escherichia coli,NA,NA
ERR2935423,Escherichia coli,NA,NA
ERR2935424,Escherichia coli,NA,NA
ERR2935425,Escherichia coli,NA,NA
ERR2935426,Escherichia coli,NA,NA
